"Ux","Uy","Cp","Points:0","Points:1","Points:2"
1.0461,0.067789,-0.098899,0.2,0.025,0
1.035,0.054051,-0.074145,0.2,0.0875,0
1.0263,0.04008,-0.05489,0.2,0.16563,0
1.0198,0.027668,-0.040748,0.2,0.26328,0
1.0148,0.017865,-0.030072,0.2,0.38535,0
1.0107,0.010847,-0.021565,0.2,0.53794,0
1.0073,0.006237,-0.014703,0.2,0.72867,0
1.0047,0.00344,-0.009351,0.2,0.96709,0
1.0027,0.00187,-0.005362,0.2,1.2651,0
1.0012,0.001087,-0.002424,0.2,1.6376,0
1,0,0,0.2,2.1033,0
1.0688,0.0625,-0.14614,0.25,-0.025,0
1.0563,0.057006,-0.11892,0.25,0.025,0
1.0441,0.046345,-0.092312,0.25,0.0875,0
1.0334,0.035043,-0.069155,0.25,0.16563,0
1.0246,0.024512,-0.050493,0.25,0.26328,0
1.0177,0.015885,-0.035975,0.25,0.38535,0
1.0123,0.009597,-0.024792,0.25,0.53794,0
1.0081,0.005462,-0.016315,0.25,0.72867,0
1.005,0.002976,-0.010094,0.25,0.96709,0
1.0028,0.001601,-0.005677,0.25,1.2651,0
1.0013,0.000922,-0.002536,0.25,1.6376,0
1,0,0,0.25,2.1033,0
1.0764,0.05,-0.16123,0.3,-0.025,0
1.0639,0.045882,-0.13408,0.3,0.025,0
1.0512,0.037803,-0.10641,0.3,0.0875,0
1.0392,0.029005,-0.080717,0.3,0.16563,0
1.0287,0.020522,-0.058729,0.3,0.26328,0
1.0203,0.013362,-0.041099,0.3,0.38535,0
1.0137,0.008053,-0.027617,0.3,0.53794,0
1.0088,0.004549,-0.01772,0.3,0.72867,0
1.0053,0.002456,-0.010734,0.3,0.96709,0
1.003,0.001309,-0.005945,0.3,1.2651,0
1.0013,0.000749,-0.00263,0.3,1.6376,0
1,0,0,0.3,2.1033,0
1.0821,0.0375,-0.17234,0.35,-0.025,0
1.0696,0.034551,-0.14523,0.35,0.025,0
1.0565,0.028729,-0.11693,0.35,0.0875,0
1.0436,0.022276,-0.089597,0.35,0.16563,0
1.032,0.015904,-0.065259,0.35,0.26328,0
1.0223,0.010402,-0.045254,0.35,0.38535,0
1.0148,0.006263,-0.029929,0.35,0.53794,0
1.0094,0.00352,-0.018867,0.35,0.72867,0
1.0056,0.001887,-0.011252,0.35,0.96709,0
1.0031,0.000999,-0.00616,0.35,1.2651,0
1.0014,0.000568,-0.002705,0.35,1.6376,0
1,0,0,0.35,2.1033,0
1.086,0.025,-0.17998,0.4,-0.025,0
1.0735,0.023094,-0.15289,0.4,0.025,0
1.0601,0.019317,-0.12423,0.4,0.0875,0
1.0467,0.015085,-0.095868,0.4,0.16563,0
1.0343,0.010839,-0.069974,0.4,0.26328,0
1.0238,0.007115,-0.048308,0.4,0.38535,0
1.0157,0.004283,-0.031642,0.4,0.53794,0
1.0098,0.0024,-0.019716,0.4,0.72867,0
1.0058,0.00128,-0.011634,0.4,0.96709,0
1.0032,0.000674,-0.006317,0.4,1.2651,0
1.0014,0.000382,-0.00276,0.4,1.6376,0
1,0,0,0.4,2.1033,0
1.0883,0.0125,-0.18445,0.45,-0.025,0
1.0758,0.011564,-0.15738,0.45,0.025,0
1.0623,0.009705,-0.12852,0.45,0.0875,0
1.0486,0.00761,-0.099598,0.45,0.16563,0
1.0358,0.005489,-0.07282,0.45,0.26328,0
1.0248,0.003612,-0.050173,0.45,0.38535,0
1.0162,0.002174,-0.032694,0.45,0.53794,0
1.0101,0.001216,-0.020237,0.45,0.72867,0
1.0059,0.000647,-0.011867,0.45,0.96709,0
1.0032,0.00034,-0.006412,0.45,1.2651,0
1.0014,0.000192,-0.002793,0.45,1.6376,0
1,0,0,0.45,2.1033,0
1.089,0,-0.18593,0.5,-0.025,0
1.0765,0,-0.15886,0.5,0.025,0
1.063,0,-0.12993,0.5,0.0875,0
1.0492,0,-0.10084,0.5,0.16563,0
1.0362,0,-0.07377,0.5,0.26328,0
1.0251,0,-0.0508,0.5,0.38535,0
1.0164,0,-0.033049,0.5,0.53794,0
1.0102,0,-0.020413,0.5,0.72867,0
1.006,0,-0.011946,0.5,0.96709,0
1.0032,0,-0.006445,0.5,1.2651,0
1.0014,0,-0.002804,0.5,1.6376,0
1,0,0,0.5,2.1033,0
1.0883,-0.0125,-0.18445,0.55,-0.025,0
1.0758,-0.011564,-0.15738,0.55,0.025,0
1.0623,-0.009705,-0.12852,0.55,0.0875,0
1.0486,-0.00761,-0.099598,0.55,0.16563,0
1.0358,-0.005489,-0.07282,0.55,0.26328,0
1.0248,-0.003612,-0.050173,0.55,0.38535,0
1.0162,-0.002174,-0.032694,0.55,0.53794,0
1.0101,-0.001216,-0.020237,0.55,0.72867,0
1.0059,-0.000647,-0.011867,0.55,0.96709,0
1.0032,-0.00034,-0.006412,0.55,1.2651,0
1.0014,-0.000192,-0.002793,0.55,1.6376,0
1,0,0,0.55,2.1033,0
1.086,-0.025,-0.17998,0.6,-0.025,0
1.0735,-0.023094,-0.15289,0.6,0.025,0
1.0601,-0.019317,-0.12423,0.6,0.0875,0
1.0467,-0.015085,-0.095868,0.6,0.16563,0
1.0343,-0.010839,-0.069974,0.6,0.26328,0
1.0238,-0.007115,-0.048308,0.6,0.38535,0
1.0157,-0.004283,-0.031642,0.6,0.53794,0
1.0098,-0.0024,-0.019716,0.6,0.72867,0
1.0058,-0.00128,-0.011634,0.6,0.96709,0
1.0032,-0.000674,-0.006317,0.6,1.2651,0
1.0014,-0.000382,-0.00276,0.6,1.6376,0
1,0,0,0.6,2.1033,0
1.0821,-0.0375,-0.17234,0.65,-0.025,0
1.0696,-0.034551,-0.14523,0.65,0.025,0
1.0565,-0.028729,-0.11693,0.65,0.0875,0
1.0436,-0.022276,-0.089597,0.65,0.16563,0
1.032,-0.015904,-0.065259,0.65,0.26328,0
1.0223,-0.010402,-0.045254,0.65,0.38535,0
1.0148,-0.006263,-0.029929,0.65,0.53794,0
1.0094,-0.00352,-0.018867,0.65,0.72867,0
1.0056,-0.001887,-0.011252,0.65,0.96709,0
1.0031,-0.000999,-0.00616,0.65,1.2651,0
1.0014,-0.000568,-0.002705,0.65,1.6376,0
1,0,0,0.65,2.1033,0
1.0764,-0.05,-0.16123,0.7,-0.025,0
1.0639,-0.045882,-0.13408,0.7,0.025,0
