VARIABLES = "X", "Y", "Ux", "Uy", "Cp" 
ZONE I=12, J=41, F=POINT
1.062500 1.265116 1.001253 -0.002273 -0.002512
1.062500 1.637645 1.000637 -0.001412 -0.001276
1.062500 2.103306 1.000000 0.000000 0.000000
1.140625 -0.025000 0.971657 0.004914 0.055859
1.140625 0.025000 0.971657 -0.004914 0.055859
1.140625 0.087500 0.978060 -0.011731 0.043261
1.140625 0.165625 0.985732 -0.014598 0.028120
1.140625 0.263281 0.992260 -0.014094 0.015222
1.140625 0.385352 0.996876 -0.011733 0.006101
1.140625 0.537939 0.999624 -0.008788 0.000674
1.140625 0.728674 1.000899 -0.006043 -0.001835
1.140625 0.967093 1.001197 -0.003875 -0.002410
1.140625 1.265116 1.000967 -0.002383 -0.001941
1.140625 1.637645 1.000523 -0.001518 -0.001048
1.140625 2.103306 1.000000 0.000000 0.000000
1.238281 -0.025000 0.982066 0.002184 0.035542
1.238281 0.025000 0.982066 -0.002184 0.035542
1.238281 0.087500 0.984039 -0.005912 0.031633
1.238281 0.165625 0.987622 -0.008650 0.024528
1.238281 0.263281 0.991782 -0.009704 0.016275
1.238281 0.385352 0.995522 -0.009141 0.008852
1.238281 0.537939 0.998261 -0.007542 0.003418
1.238281 0.728674 0.999873 -0.005592 0.000222
1.238281 0.967093 1.000552 -0.003804 -0.001120
1.238281 1.265116 1.000622 -0.002449 -0.001251
1.238281 1.637645 1.000379 -0.001614 -0.000762
1.238281 2.103306 1.000000 0.000000 0.000000
1.360352 -0.025000 0.988069 0.001061 0.023719
1.360352 0.025000 0.988069 -0.001061 0.023719
1.360352 0.087500 0.988741 -0.003050 0.022383
1.360352 0.165625 0.990272 -0.004919 0.019337
1.360352 0.263281 0.992522 -0.006194 0.014862
1.360352 0.385352 0.995044 -0.006550 0.009844
1.360352 0.537939 0.997311 -0.006003 0.005335
1.360352 0.728674 0.998956 -0.004869 0.002062
1.360352 0.967093 0.999887 -0.003568 0.000213
1.360352 1.265116 1.000231 -0.002439 -0.000468
1.360352 1.637645 1.000206 -0.001681 -0.000416
1.360352 2.103306 1.000000 0.000000 0.000000
1.512939 -0.025000 0.991802 0.000544 0.016328
1.512939 0.025000 0.991802 -0.000544 0.016328
1.512939 0.087500 0.992056 -0.001608 0.015822
1.512939 0.165625 0.992700 -0.002741 0.014540
1.512939 0.263281 0.993802 -0.003739 0.012344
1.512939 0.385352 0.995276 -0.004352 0.009406
